Solution_Size,Trial_Limit,Max_Iteration,Employed_Algo3,Onlooker_Algo3,Fold_ID,Seed,Iteration,Train_Fitness,Val_Fitness,Trace_Metric,Scout_Triggers
250,375,120,True,False,0,131,1,0.6252222905144218,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,2,0.6252222905144218,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,3,0.6252222905144218,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,4,0.6252222905144218,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,5,0.627680701041939,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,6,0.627680701041939,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,7,0.6489952713146405,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,8,0.6489952713146405,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,9,0.6489952713146405,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,10,0.6489952713146405,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,11,0.6489952713146405,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,12,0.6489952713146405,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,13,0.6489952713146405,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,14,0.6489952713146405,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,15,0.6489952713146405,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,16,0.6489952713146405,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,17,0.6568434974409656,0.5714533736737373,MCC,0
250,375,120,True,False,0,131,18,0.6568434974409656,0.5714533736737373,MCC,0
250,375,120,True,False,0,131,19,0.6573775492207712,0.492257389822214,MCC,0
250,375,120,True,False,0,131,20,0.6771891348851915,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,21,0.6771891348851915,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,22,0.6805727952964422,0.647150228929434,MCC,0
250,375,120,True,False,0,131,23,0.6805727952964422,0.647150228929434,MCC,0
250,375,120,True,False,0,131,24,0.6805727952964422,0.647150228929434,MCC,0
250,375,120,True,False,0,131,25,0.6805727952964422,0.647150228929434,MCC,0
250,375,120,True,False,0,131,26,0.6805727952964422,0.647150228929434,MCC,0
250,375,120,True,False,0,131,27,0.6805727952964422,0.647150228929434,MCC,0
250,375,120,True,False,0,131,28,0.690016301821679,0.6089709977191586,MCC,0
250,375,120,True,False,0,131,29,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,30,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,31,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,32,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,33,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,34,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,35,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,36,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,37,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,38,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,39,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,40,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,41,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,42,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,43,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,44,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,45,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,46,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,47,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,48,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,49,0.7095449420847928,0.6877971928553948,MCC,0
250,375,120,True,False,0,131,50,0.7118048353524364,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,51,0.7118048353524364,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,52,0.7118048353524364,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,53,0.7118048353524364,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,54,0.7118048353524364,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,55,0.7118048353524364,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,56,0.7118048353524364,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,57,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,58,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,59,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,60,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,61,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,62,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,63,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,64,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,65,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,66,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,67,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,68,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,69,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,70,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,71,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,72,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,73,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,74,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,75,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,76,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,77,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,78,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,79,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,80,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,81,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,82,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,83,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,84,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,85,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,86,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,87,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,88,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,89,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,90,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,91,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,92,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,93,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,94,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,95,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,96,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,97,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,98,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,99,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,100,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,101,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,102,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,103,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,104,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,105,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,106,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,107,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,108,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,109,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,110,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,111,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,112,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,113,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,114,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,115,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,116,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,117,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,118,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,119,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,131,120,0.711831185147217,0.6506493575252608,MCC,0
250,375,120,True,False,0,132,1,0.6017289144205598,0.6506493575252608,MCC,0
250,375,120,True,False,0,132,2,0.6017289144205598,0.6506493575252608,MCC,0
250,375,120,True,False,0,132,3,0.6017289144205598,0.6506493575252608,MCC,0
250,375,120,True,False,0,132,4,0.6147425526995007,0.5714533736737373,MCC,0
250,375,120,True,False,0,132,5,0.6147425526995007,0.5714533736737373,MCC,0
250,375,120,True,False,0,132,6,0.6308834996332491,0.6584514504920518,MCC,0
250,375,120,True,False,0,132,7,0.6308834996332491,0.6584514504920518,MCC,0
250,375,120,True,False,0,132,8,0.6308834996332491,0.6584514504920518,MCC,0
250,375,120,True,False,0,132,9,0.6308834996332491,0.6584514504920518,MCC,0
250,375,120,True,False,0,132,10,0.6308834996332491,0.6584514504920518,MCC,0
250,375,120,True,False,0,132,11,0.6308834996332491,0.6584514504920518,MCC,0
250,375,120,True,False,0,132,12,0.6308834996332491,0.6584514504920518,MCC,0
250,375,120,True,False,0,132,13,0.6343652307205128,0.8090413252283075,MCC,0
250,375,120,True,False,0,132,14,0.6343652307205128,0.8090413252283075,MCC,0
250,375,120,True,False,0,132,15,0.6343652307205128,0.8090413252283075,MCC,0
250,375,120,True,False,0,132,16,0.6343652307205128,0.8090413252283075,MCC,0
250,375,120,True,False,0,132,17,0.6343652307205128,0.8090413252283075,MCC,0
250,375,120,True,False,0,132,18,0.6501034145353355,0.5301448025829223,MCC,0
250,375,120,True,False,0,132,19,0.6501034145353355,0.5301448025829223,MCC,0
250,375,120,True,False,0,132,20,0.6501034145353355,0.5301448025829223,MCC,0
250,375,120,True,False,0,132,21,0.6501034145353355,0.5301448025829223,MCC,0
250,375,120,True,False,0,132,22,0.6501034145353355,0.5301448025829223,MCC,0
250,375,120,True,False,0,132,23,0.6501034145353355,0.5301448025829223,MCC,0
250,375,120,True,False,0,132,24,0.6501034145353355,0.5301448025829223,MCC,0
250,375,120,True,False,0,132,25,0.6513303839295563,0.5714533736737373,MCC,0
250,375,120,True,False,0,132,26,0.6513303839295563,0.5714533736737373,MCC,0
250,375,120,True,False,0,132,27,0.6513303839295563,0.5714533736737373,MCC,0
250,375,120,True,False,0,132,28,0.6513303839295563,0.5714533736737373,MCC,0
250,375,120,True,False,0,132,29,0.6525053367177556,0.492257389822214,MCC,0
250,375,120,True,False,0,132,30,0.6525053367177556,0.492257389822214,MCC,0
250,375,120,True,False,0,132,31,0.6525053367177556,0.492257389822214,MCC,0
250,375,120,True,False,0,132,32,0.6525053367177556,0.492257389822214,MCC,0
250,375,120,True,False,0,132,33,0.6525053367177556,0.492257389822214,MCC,0
250,375,120,True,False,0,132,34,0.6525053367177556,0.492257389822214,MCC,0
250,375,120,True,False,0,132,35,0.6525053367177556,0.492257389822214,MCC,0
250,375,120,True,False,0,132,36,0.6525053367177556,0.492257389822214,MCC,0
250,375,120,True,False,0,132,37,0.6525053367177556,0.492257389822214,MCC,0
250,375,120,True,False,0,132,38,0.6525053367177556,0.492257389822214,MCC,0
250,375,120,True,False,0,132,39,0.6525053367177556,0.492257389822214,MCC,0
250,375,120,True,False,0,132,40,0.6615167151351657,0.6506493575252608,MCC,0
250,375,120,True,False,0,132,41,0.6615167151351657,0.6506493575252608,MCC,0
250,375,120,True,False,0,132,42,0.6615167151351657,0.6506493575252608,MCC,0
250,375,120,True,False,0,132,43,0.6615167151351657,0.6506493575252608,MCC,0
250,375,120,True,False,0,132,44,0.6615167151351657,0.6506493575252608,MCC,0
