Hidden_Nodes,Activation,Lambda_Value,Fold,ELM_Seed,Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC
5,sigmoid,0.0,0,131,0.5294117647058824,0.5294117647058824,0.36,0.5294117647058824,0.6923076923076923,0.42857142857142855,0.38461538461538464,0.5261538461538462,0.05547001962252291
5,sigmoid,0.0,0,132,0.6862745098039216,0.7647058823529411,0.52,0.6470588235294118,0.8461538461538461,0.6190476190476191,0.5555555555555556,0.6830769230769231,0.3882901373576604
5,sigmoid,0.0,0,133,0.5686274509803921,0.56,0.56,0.5769230769230769,0.5769230769230769,0.56,0.56,0.5684615384615385,0.13692307692307693
5,sigmoid,0.0,0,134,0.5490196078431373,0.5625,0.36,0.5428571428571428,0.7307692307692307,0.43902439024390244,0.3879310344827586,0.5453846153846154,0.09779154775943988
5,sigmoid,0.0,0,135,0.5294117647058824,0.52,0.52,0.5384615384615384,0.5384615384615384,0.52,0.52,0.5292307692307692,0.05846153846153846
5,sigmoid,0.0,0,136,0.5882352941176471,0.5769230769230769,0.6,0.6,0.5769230769230769,0.5882352941176471,0.5952380952380952,0.5884615384615384,0.17692307692307693
5,sigmoid,0.0,0,137,0.5294117647058824,0.5238095238095238,0.44,0.5333333333333333,0.6153846153846154,0.4782608695652174,0.45454545454545453,0.5276923076923077,0.05625686771261945
5,sigmoid,0.0,0,138,0.7058823529411765,0.7083333333333334,0.68,0.7037037037037037,0.7307692307692307,0.6938775510204082,0.6854838709677419,0.7053846153846154,0.4114026455337116
5,sigmoid,0.0,0,139,0.5882352941176471,0.5666666666666667,0.68,0.6190476190476191,0.5,0.6181818181818182,0.6538461538461539,0.5900000000000001,0.18283482006601323
5,sigmoid,0.0,0,140,0.5490196078431373,0.5454545454545454,0.48,0.5517241379310345,0.6153846153846154,0.5106382978723404,0.4918032786885246,0.5476923076923077,0.09627747056459707
5,sigmoid,0.0,0,141,0.6666666666666666,0.6333333333333333,0.76,0.7142857142857143,0.5769230769230769,0.6909090909090909,0.7307692307692307,0.6684615384615384,0.34222927858510166
5,sigmoid,0.0,0,142,0.6274509803921569,0.625,0.6,0.6296296296296297,0.6538461538461539,0.6122448979591837,0.6048387096774194,0.6269230769230769,0.25423758993656337
5,sigmoid,0.0,0,143,0.5882352941176471,0.5833333333333334,0.56,0.5925925925925926,0.6153846153846154,0.5714285714285714,0.5645161290322581,0.5876923076923077,0.17565506213798923
5,sigmoid,0.0,0,144,0.5686274509803921,0.5517241379310345,0.64,0.5909090909090909,0.5,0.5925925925925926,0.6201550387596899,0.5700000000000001,0.14131048098997312
5,sigmoid,0.0,0,145,0.47058823529411764,0.4666666666666667,0.56,0.47619047619047616,0.38461538461538464,0.509090909090909,0.5384615384615384,0.4723076923076923,-0.05625686771261945
5,sigmoid,0.0,0,146,0.6470588235294118,0.6206896551724138,0.72,0.6818181818181818,0.5769230769230769,0.6666666666666666,0.6976744186046512,0.6484615384615384,0.2997024486930199
5,sigmoid,0.0,0,147,0.6274509803921569,0.59375,0.76,0.6842105263157895,0.5,0.6666666666666666,0.7196969696969697,0.63,0.2688303123572661
5,sigmoid,0.0,0,148,0.6666666666666666,0.6538461538461539,0.68,0.68,0.6538461538461539,0.6666666666666666,0.6746031746031746,0.666923076923077,0.33384615384615385
5,sigmoid,0.0,0,149,0.5490196078431373,0.5333333333333333,0.64,0.5714285714285714,0.46153846153846156,0.5818181818181818,0.6153846153846154,0.5507692307692308,0.103137590806469
5,sigmoid,0.0,0,150,0.6274509803921569,0.625,0.6,0.6296296296296297,0.6538461538461539,0.6122448979591837,0.6048387096774194,0.6269230769230769,0.25423758993656337
5,sigmoid,0.0,0,151,0.6666666666666666,0.6333333333333333,0.76,0.7142857142857143,0.5769230769230769,0.6909090909090909,0.7307692307692307,0.6684615384615384,0.34222927858510166
5,sigmoid,0.0,0,152,0.6666666666666666,0.6666666666666666,0.64,0.6666666666666666,0.6923076923076923,0.6530612244897959,0.6451612903225806,0.6661538461538461,0.3328201177351375
5,sigmoid,0.0,0,153,0.6470588235294118,0.6129032258064516,0.76,0.7,0.5384615384615384,0.6785714285714286,0.7251908396946565,0.6492307692307693,0.3055970846781293
5,sigmoid,0.0,0,154,0.6470588235294118,0.64,0.64,0.6538461538461539,0.6538461538461539,0.64,0.64,0.6469230769230769,0.29384615384615387
5,sigmoid,0.0,0,155,0.6078431372549019,0.6,0.6,0.6153846153846154,0.6153846153846154,0.6,0.6,0.6076923076923078,0.2153846153846154
5,sigmoid,0.0,0,156,0.5294117647058824,0.5185185185185185,0.56,0.5416666666666666,0.5,0.5384615384615384,0.5511811023622047,0.53,0.06009252125773316
5,sigmoid,0.0,0,157,0.7254901960784313,0.6666666666666666,0.88,0.8333333333333334,0.5769230769230769,0.7586206896551724,0.8270676691729323,0.7284615384615385,0.4779765040894149
5,sigmoid,0.0,0,158,0.6666666666666666,0.6666666666666666,0.64,0.6666666666666666,0.6923076923076923,0.6530612244897959,0.6451612903225806,0.6661538461538461,0.3328201177351375
5,sigmoid,0.0,0,159,0.6470588235294118,0.6521739130434783,0.6,0.6428571428571429,0.6923076923076923,0.625,0.6097560975609756,0.6461538461538461,0.2936662171742135
5,sigmoid,0.0,0,160,0.6078431372549019,0.5925925925925926,0.64,0.625,0.5769230769230769,0.6153846153846154,0.6299212598425197,0.6084615384615384,0.21725757685488142
5,sigmoid,0.0,1,131,0.6666666666666666,0.7,0.56,0.6451612903225806,0.7692307692307693,0.6222222222222222,0.5833333333333334,0.6646153846153846,0.33710193876865807
5,sigmoid,0.0,1,132,0.6862745098039216,0.68,0.68,0.6923076923076923,0.6923076923076923,0.68,0.68,0.6861538461538461,0.3723076923076923
5,sigmoid,0.0,1,133,0.6470588235294118,0.6521739130434783,0.6,0.6428571428571429,0.6923076923076923,0.625,0.6097560975609756,0.6461538461538461,0.2936662171742135
5,sigmoid,0.0,1,134,0.5882352941176471,0.6,0.48,0.5806451612903226,0.6923076923076923,0.5333333333333333,0.5,0.5861538461538461,0.17642718290696124
5,sigmoid,0.0,1,135,0.6078431372549019,0.6086956521739131,0.56,0.6071428571428571,0.6538461538461539,0.5833333333333334,0.5691056910569106,0.6069230769230769,0.21484002203797722
5,sigmoid,0.0,1,136,0.6666666666666666,0.6333333333333333,0.76,0.7142857142857143,0.5769230769230769,0.6909090909090909,0.7307692307692307,0.6684615384615384,0.34222927858510166
5,sigmoid,0.0,1,137,0.6470588235294118,0.7333333333333333,0.44,0.6111111111111112,0.8461538461538461,0.55,0.4782608695652174,0.6430769230769231,0.31394920379593666
5,sigmoid,0.0,1,138,0.7058823529411765,0.6785714285714286,0.76,0.7391304347826086,0.6538461538461539,0.7169811320754716,0.7421875,0.706923076923077,0.4157695390519128
5,sigmoid,0.0,1,139,0.5882352941176471,0.5833333333333334,0.56,0.5925925925925926,0.6153846153846154,0.5714285714285714,0.5645161290322581,0.5876923076923077,0.17565506213798923
5,sigmoid,0.0,1,140,0.6274509803921569,0.6363636363636364,0.56,0.6206896551724138,0.6923076923076923,0.5957446808510638,0.5737704918032787,0.6261538461538462,0.2546694382676438
5,sigmoid,0.0,1,141,0.6666666666666666,0.6333333333333333,0.76,0.7142857142857143,0.5769230769230769,0.6909090909090909,0.7307692307692307,0.6684615384615384,0.34222927858510166
5,sigmoid,0.0,1,142,0.6470588235294118,0.6521739130434783,0.6,0.6428571428571429,0.6923076923076923,0.625,0.6097560975609756,0.6461538461538461,0.2936662171742135
5,sigmoid,0.0,1,143,0.47058823529411764,0.4642857142857143,0.52,0.4782608695652174,0.4230769230769231,0.49056603773584906,0.5078125,0.4715384615384616,-0.05718763176550473
5,sigmoid,0.0,1,144,0.6470588235294118,0.64,0.64,0.6538461538461539,0.6538461538461539,0.64,0.64,0.6469230769230769,0.29384615384615387
5,sigmoid,0.0,1,145,0.6274509803921569,0.6363636363636364,0.56,0.6206896551724138,0.6923076923076923,0.5957446808510638,0.5737704918032787,0.6261538461538462,0.2546694382676438
5,sigmoid,0.0,1,146,0.5882352941176471,0.5833333333333334,0.56,0.5925925925925926,0.6153846153846154,0.5714285714285714,0.5645161290322581,0.5876923076923077,0.17565506213798923
5,sigmoid,0.0,1,147,0.7254901960784313,0.7391304347826086,0.68,0.7142857142857143,0.7692307692307693,0.7083333333333334,0.6910569105691057,0.7246153846153847,0.451318607446686
5,sigmoid,0.0,1,148,0.5294117647058824,0.5185185185185185,0.56,0.5416666666666666,0.5,0.5384615384615384,0.5511811023622047,0.53,0.06009252125773316
5,sigmoid,0.0,1,149,0.5686274509803921,0.5714285714285714,0.48,0.5666666666666667,0.6538461538461539,0.5217391304347826,0.49586776859504134,0.5669230769230769,0.13595409697216368
5,sigmoid,0.0,1,150,0.6078431372549019,0.5862068965517241,0.68,0.6363636363636364,0.5384615384615384,0.6296296296296297,0.6589147286821705,0.6092307692307692,0.2205064648414965
5,sigmoid,0.0,1,151,0.5294117647058824,0.5238095238095238,0.44,0.5333333333333333,0.6153846153846154,0.4782608695652174,0.45454545454545453,0.5276923076923077,0.05625686771261945
5,sigmoid,0.0,1,152,0.6862745098039216,0.7142857142857143,0.6,0.6666666666666666,0.7692307692307693,0.6521739130434783,0.6198347107438017,0.6846153846153846,0.37504578475079636
5,sigmoid,0.0,1,153,0.6274509803921569,0.6071428571428571,0.68,0.6521739130434783,0.5769230769230769,0.6415094339622641,0.6640625,0.6284615384615384,0.25811714877944025
5,sigmoid,0.0,1,154,0.6470588235294118,0.6521739130434783,0.6,0.6428571428571429,0.6923076923076923,0.625,0.6097560975609756,0.6461538461538461,0.2936662171742135
5,sigmoid,0.0,1,155,0.5686274509803921,0.5652173913043478,0.52,0.5714285714285714,0.6153846153846154,0.5416666666666666,0.5284552845528455,0.5676923076923077,0.136013826901741
5,sigmoid,0.0,1,156,0.5098039215686274,0.5,0.48,0.5185185185185185,0.5384615384615384,0.4897959183673469,0.4838709677419355,0.5092307692307692,0.018490006540840973
