Solution_Size,Trial_Limit,Max_Iteration,Employed_Algo3,Onlooker_Algo3,Fold_ID,Seed,Iteration,Train_Fitness,Val_Fitness,Trace_Metric,Scout_Triggers
50,25,150,True,True,0,131,1,0.550001730278237,0.671098323923522,MCC,0
50,25,150,True,True,0,131,2,0.5726215198633748,0.6235590677162621,MCC,0
50,25,150,True,True,0,131,3,0.5851263180135626,0.6141374725294291,MCC,0
50,25,150,True,True,0,131,4,0.6029557388757669,0.647150228929434,MCC,0
50,25,150,True,True,0,131,5,0.6029557388757669,0.647150228929434,MCC,0
50,25,150,True,True,0,131,6,0.6029557388757669,0.647150228929434,MCC,0
50,25,150,True,True,0,131,7,0.6632062769037719,0.47149516679144465,MCC,0
50,25,150,True,True,0,131,8,0.6632062769037719,0.47149516679144465,MCC,0
50,25,150,True,True,0,131,9,0.6632062769037719,0.47149516679144465,MCC,0
50,25,150,True,True,0,131,10,0.6632062769037719,0.47149516679144465,MCC,0
50,25,150,True,True,0,131,11,0.6632062769037719,0.47149516679144465,MCC,0
50,25,150,True,True,0,131,12,0.6632062769037719,0.47149516679144465,MCC,1
50,25,150,True,True,0,131,13,0.6632062769037719,0.47149516679144465,MCC,3
50,25,150,True,True,0,131,14,0.6632062769037719,0.47149516679144465,MCC,3
50,25,150,True,True,0,131,15,0.6632062769037719,0.47149516679144465,MCC,2
50,25,150,True,True,0,131,16,0.6632062769037719,0.47149516679144465,MCC,7
50,25,150,True,True,0,131,17,0.6632062769037719,0.47149516679144465,MCC,5
50,25,150,True,True,0,131,18,0.6632062769037719,0.47149516679144465,MCC,2
50,25,150,True,True,0,131,19,0.6632062769037719,0.47149516679144465,MCC,2
50,25,150,True,True,0,131,20,0.6632062769037719,0.47149516679144465,MCC,1
50,25,150,True,True,0,131,21,0.6632062769037719,0.47149516679144465,MCC,2
50,25,150,True,True,0,131,22,0.6632062769037719,0.47149516679144465,MCC,3
50,25,150,True,True,0,131,23,0.6632062769037719,0.47149516679144465,MCC,1
50,25,150,True,True,0,131,24,0.6632062769037719,0.47149516679144465,MCC,1
50,25,150,True,True,0,131,25,0.6632062769037719,0.47149516679144465,MCC,2
50,25,150,True,True,0,131,26,0.6632062769037719,0.47149516679144465,MCC,0
50,25,150,True,True,0,131,27,0.6632062769037719,0.47149516679144465,MCC,2
50,25,150,True,True,0,131,28,0.6632062769037719,0.47149516679144465,MCC,3
50,25,150,True,True,0,131,29,0.6632062769037719,0.47149516679144465,MCC,2
