Model_Type,Hidden_Nodes,Lambda_Value,Activation,Fold_ID,Seed,Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC
Best_Size_and_Lambda,58,0.0625,sigmoid,0,101,0.765625,0.8076923076923077,0.6774193548387096,0.7368421052631579,0.8484848484848485,0.7368421052631579,0.7,0.7629521016617791,0.5351382406702081
Best_Size_and_Lambda,58,0.0625,sigmoid,0,102,0.703125,0.7142857142857143,0.6451612903225806,0.6944444444444444,0.7575757575757576,0.6779661016949152,0.6578947368421053,0.7013685239491692,0.40572253759682037
Best_Size_and_Lambda,58,0.0625,sigmoid,0,103,0.734375,0.7916666666666666,0.6129032258064516,0.7,0.8484848484848485,0.6909090909090909,0.6418918918918919,0.7306940371456501,0.4762868217015414
Best_Size_and_Lambda,58,0.0625,sigmoid,0,104,0.703125,0.75,0.5806451612903226,0.675,0.8181818181818182,0.6545454545454545,0.6081081081081081,0.6994134897360704,0.4117055577420104
Best_Size_and_Lambda,58,0.0625,sigmoid,0,105,0.6875,0.72,0.5806451612903226,0.6666666666666666,0.7878787878787878,0.6428571428571429,0.6040268456375839,0.6842619745845553,0.37748632692066614
Best_Size_and_Lambda,58,0.0625,sigmoid,0,106,0.703125,0.75,0.5806451612903226,0.675,0.8181818181818182,0.6545454545454545,0.6081081081081081,0.6994134897360704,0.4117055577420104
Best_Size_and_Lambda,58,0.0625,sigmoid,0,107,0.75,0.8260869565217391,0.6129032258064516,0.7073170731707317,0.8787878787878788,0.7037037037037037,0.6462585034013606,0.7458455522971652,0.5121230482555515
Best_Size_and_Lambda,58,0.0625,sigmoid,0,108,0.6875,0.7037037037037037,0.6129032258064516,0.6756756756756757,0.7575757575757576,0.6551724137931034,0.6291390728476821,0.6852394916911047,0.374902769779907
Best_Size_and_Lambda,58,0.0625,sigmoid,0,109,0.734375,0.7692307692307693,0.6451612903225806,0.7105263157894737,0.8181818181818182,0.7017543859649122,0.6666666666666666,0.7316715542521994,0.4714786730068376
Best_Size_and_Lambda,58,0.0625,sigmoid,0,110,0.6875,0.7037037037037037,0.6129032258064516,0.6756756756756757,0.7575757575757576,0.6551724137931034,0.6291390728476821,0.6852394916911047,0.374902769779907
Best_Size_and_Lambda,58,0.0625,sigmoid,0,111,0.703125,0.7142857142857143,0.6451612903225806,0.6944444444444444,0.7575757575757576,0.6779661016949152,0.6578947368421053,0.7013685239491692,0.40572253759682037
Best_Size_and_Lambda,58,0.0625,sigmoid,0,112,0.75,0.7586206896551724,0.7096774193548387,0.7428571428571429,0.7878787878787878,0.7333333333333333,0.7189542483660131,0.7487781036168133,0.4995131713544373
Best_Size_and_Lambda,58,0.0625,sigmoid,0,113,0.75,0.8,0.6451612903225806,0.717948717948718,0.8484848484848485,0.7142857142857143,0.6711409395973155,0.7468230694037146,0.5056514458751629
Best_Size_and_Lambda,58,0.0625,sigmoid,0,114,0.765625,0.8076923076923077,0.6774193548387096,0.7368421052631579,0.8484848484848485,0.7368421052631579,0.7,0.7629521016617791,0.5351382406702081
Best_Size_and_Lambda,58,0.0625,sigmoid,0,115,0.703125,0.7307692307692307,0.6129032258064516,0.6842105263157895,0.7878787878787878,0.6666666666666666,0.6333333333333333,0.7003910068426198,0.4078191053434671
Best_Size_and_Lambda,58,0.0625,sigmoid,0,116,0.6875,0.72,0.5806451612903226,0.6666666666666666,0.7878787878787878,0.6428571428571429,0.6040268456375839,0.6842619745845553,0.37748632692066614
Best_Size_and_Lambda,58,0.0625,sigmoid,0,117,0.734375,0.75,0.6774193548387096,0.7222222222222222,0.7878787878787878,0.711864406779661,0.6907894736842105,0.7326490713587488,0.4687473978060352
Best_Size_and_Lambda,58,0.0625,sigmoid,0,118,0.703125,0.7,0.6774193548387096,0.7058823529411765,0.7272727272727273,0.6885245901639344,0.6818181818181818,0.7023460410557185,0.4052867805690852
Best_Size_and_Lambda,58,0.0625,sigmoid,0,119,0.65625,0.6956521739130435,0.5161290322580645,0.6341463414634146,0.7878787878787878,0.5925925925925926,0.54421768707483,0.6520039100684262,0.3166406918637704
Best_Size_and_Lambda,58,0.0625,sigmoid,0,120,0.71875,0.7241379310344828,0.6774193548387096,0.7142857142857143,0.7575757575757576,0.7,0.6862745098039216,0.7174975562072337,0.43670601424896777
Best_Size_and_Lambda,58,0.0625,sigmoid,0,121,0.734375,0.7916666666666666,0.6129032258064516,0.7,0.8484848484848485,0.6909090909090909,0.6418918918918919,0.7306940371456501,0.4762868217015414
Best_Size_and_Lambda,58,0.0625,sigmoid,0,122,0.6875,0.7037037037037037,0.6129032258064516,0.6756756756756757,0.7575757575757576,0.6551724137931034,0.6291390728476821,0.6852394916911047,0.374902769779907
Best_Size_and_Lambda,58,0.0625,sigmoid,0,123,0.734375,0.75,0.6774193548387096,0.7222222222222222,0.7878787878787878,0.711864406779661,0.6907894736842105,0.7326490713587488,0.4687473978060352
Best_Size_and_Lambda,58,0.0625,sigmoid,0,124,0.765625,0.8076923076923077,0.6774193548387096,0.7368421052631579,0.8484848484848485,0.7368421052631579,0.7,0.7629521016617791,0.5351382406702081
Best_Size_and_Lambda,58,0.0625,sigmoid,0,125,0.734375,0.7692307692307693,0.6451612903225806,0.7105263157894737,0.8181818181818182,0.7017543859649122,0.6666666666666666,0.7316715542521994,0.4714786730068376
Best_Size_and_Lambda,58,0.0625,sigmoid,0,126,0.6875,0.7391304347826086,0.5483870967741935,0.6585365853658537,0.8181818181818182,0.6296296296296297,0.5782312925170068,0.6832844574780059,0.3818014773276975
Best_Size_and_Lambda,58,0.0625,sigmoid,0,127,0.71875,0.8095238095238095,0.5483870967741935,0.6744186046511628,0.8787878787878788,0.6538461538461539,0.5862068965517241,0.7135874877810362,0.4546736070508646
Best_Size_and_Lambda,58,0.0625,sigmoid,0,128,0.703125,0.75,0.5806451612903226,0.675,0.8181818181818182,0.6545454545454545,0.6081081081081081,0.6994134897360704,0.4117055577420104
Best_Size_and_Lambda,58,0.0625,sigmoid,0,129,0.703125,0.7142857142857143,0.6451612903225806,0.6944444444444444,0.7575757575757576,0.6779661016949152,0.6578947368421053,0.7013685239491692,0.40572253759682037
Best_Size_and_Lambda,58,0.0625,sigmoid,0,130,0.734375,0.75,0.6774193548387096,0.7222222222222222,0.7878787878787878,0.711864406779661,0.6907894736842105,0.7326490713587488,0.4687473978060352
