Model_Type,Hidden_Nodes,Lambda_Value,Activation,Fold_ID,Seed,Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,0.71875,0.7407407407407407,0.6451612903225806,0.7027027027027027,0.7878787878787878,0.6896551724137931,0.6622516556291391,0.7165200391006843,0.43821088921503637
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,0.71875,0.76,0.6129032258064516,0.6923076923076923,0.8181818181818182,0.6785714285714286,0.6375838926174496,0.7155425219941349,0.44156888639791453
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,103,0.796875,0.8,0.7741935483870968,0.7941176470588235,0.8181818181818182,0.7868852459016393,0.7792207792207793,0.7961876832844574,0.5932458672098203
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,0.734375,0.8181818181818182,0.5806451612903226,0.6904761904761905,0.8787878787878788,0.6792452830188679,0.6164383561643836,0.7297165200391007,0.4834193782606082
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,0.71875,0.7407407407407407,0.6451612903225806,0.7027027027027027,0.7878787878787878,0.6896551724137931,0.6622516556291391,0.7165200391006843,0.43821088921503637
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,0.734375,0.7333333333333333,0.7096774193548387,0.7352941176470589,0.7575757575757576,0.7213114754098361,0.7142857142857143,0.7336265884652982,0.4679398094493303
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,0.703125,0.7727272727272727,0.5483870967741935,0.6666666666666666,0.8484848484848485,0.6415094339622641,0.5821917808219178,0.6984359726295211,0.4175920586676743
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,108,0.765625,0.7857142857142857,0.7096774193548387,0.75,0.8181818181818182,0.7457627118644068,0.7236842105263158,0.7639296187683284,0.53177225801525
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,109,0.703125,0.7727272727272727,0.5483870967741935,0.6666666666666666,0.8484848484848485,0.6415094339622641,0.5821917808219178,0.6984359726295211,0.4175920586676743
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,110,0.8125,0.9130434782608695,0.6774193548387096,0.7560975609756098,0.9393939393939394,0.7777777777777778,0.7142857142857143,0.8084066471163245,0.6424446191834056
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,111,0.765625,0.7857142857142857,0.7096774193548387,0.75,0.8181818181818182,0.7457627118644068,0.7236842105263158,0.7639296187683284,0.53177225801525
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,112,0.796875,0.875,0.6774193548387096,0.75,0.9090909090909091,0.7636363636363637,0.7094594594594594,0.7932551319648093,0.6054493496206035
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,113,0.75,0.7586206896551724,0.7096774193548387,0.7428571428571429,0.7878787878787878,0.7333333333333333,0.7189542483660131,0.7487781036168133,0.4995131713544373
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,114,0.71875,0.782608695652174,0.5806451612903226,0.6829268292682927,0.8484848484848485,0.6666666666666666,0.6122448979591837,0.7145650048875856,0.4469622627916245
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,115,0.734375,0.7333333333333333,0.7096774193548387,0.7352941176470589,0.7575757575757576,0.7213114754098361,0.7142857142857143,0.7336265884652982,0.4679398094493303
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,116,0.703125,0.7,0.6774193548387096,0.7058823529411765,0.7272727272727273,0.6885245901639344,0.6818181818181818,0.7023460410557185,0.4052867805690852
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,117,0.671875,0.6785714285714286,0.6129032258064516,0.6666666666666666,0.7272727272727273,0.6440677966101694,0.625,0.6700879765395895,0.34269767738760554
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,118,0.78125,0.7741935483870968,0.7741935483870968,0.7878787878787878,0.7878787878787878,0.7741935483870968,0.7741935483870968,0.7810361681329423,0.5620723362658846
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,119,0.6875,0.72,0.5806451612903226,0.6666666666666666,0.7878787878787878,0.6428571428571429,0.6040268456375839,0.6842619745845553,0.37748632692066614
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,120,0.703125,0.7142857142857143,0.6451612903225806,0.6944444444444444,0.7575757575757576,0.6779661016949152,0.6578947368421053,0.7013685239491692,0.40572253759682037
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,121,0.703125,0.75,0.5806451612903226,0.675,0.8181818181818182,0.6545454545454545,0.6081081081081081,0.6994134897360704,0.4117055577420104
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,122,0.6875,0.7037037037037037,0.6129032258064516,0.6756756756756757,0.7575757575757576,0.6551724137931034,0.6291390728476821,0.6852394916911047,0.374902769779907
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,123,0.734375,0.7692307692307693,0.6451612903225806,0.7105263157894737,0.8181818181818182,0.7017543859649122,0.6666666666666666,0.7316715542521994,0.4714786730068376
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,124,0.71875,0.7407407407407407,0.6451612903225806,0.7027027027027027,0.7878787878787878,0.6896551724137931,0.6622516556291391,0.7165200391006843,0.43821088921503637
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,125,0.71875,0.8823529411764706,0.4838709677419355,0.6595744680851063,0.9393939393939394,0.625,0.5319148936170213,0.7116324535679375,0.4789351256229665
