Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC,ABC_Seed
0.8125,0.8333333333333334,0.78125,0.7941176470588235,0.84375,0.8064516129032258,0.7911392405063291,0.8125,0.6262242910851495,41
0.796875,0.7567567567567568,0.875,0.8518518518518519,0.71875,0.8115942028985508,0.8484848484848485,0.796875,0.6011333973099161,42
0.75,0.8333333333333334,0.625,0.7,0.875,0.7142857142857143,0.6578947368421053,0.75,0.5163977794943222,43
0.828125,0.8181818181818182,0.84375,0.8387096774193549,0.8125,0.8307692307692308,0.8385093167701864,0.828125,0.6565706694547585,44
0.75,0.7857142857142857,0.6875,0.7222222222222222,0.8125,0.7333333333333333,0.7051282051282052,0.75,0.5039526306789696,45
0.765625,0.7931034482758621,0.71875,0.7428571428571429,0.8125,0.7540983606557377,0.732484076433121,0.765625,0.5336000974881928,46
0.859375,0.8285714285714286,0.90625,0.896551724137931,0.8125,0.8656716417910447,0.8895705521472392,0.859375,0.7219295436604962,47
0.765625,0.7575757575757576,0.78125,0.7741935483870968,0.75,0.7692307692307693,0.7763975155279503,0.765625,0.531509589558614,48
0.765625,0.7931034482758621,0.71875,0.7428571428571429,0.8125,0.7540983606557377,0.732484076433121,0.765625,0.5336000974881928,49
0.765625,0.7931034482758621,0.71875,0.7428571428571429,0.8125,0.7540983606557377,0.732484076433121,0.765625,0.5336000974881928,50
0.78125,0.8214285714285714,0.71875,0.75,0.84375,0.7666666666666667,0.7371794871794872,0.78125,0.5669467095138409,51
0.78125,0.8461538461538461,0.6875,0.7368421052631579,0.875,0.7586206896551724,0.7142857142857143,0.78125,0.5726562866782,52
0.75,0.8076923076923077,0.65625,0.7105263157894737,0.84375,0.7241379310344828,0.6818181818181818,0.75,0.5090278103806222,53
0.765625,0.7741935483870968,0.75,0.7575757575757576,0.78125,0.7619047619047619,0.7547169811320755,0.765625,0.531509589558614,54
0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.5625,55
0.765625,0.8148148148148148,0.6875,0.7297297297297297,0.84375,0.7457627118644068,0.7096774193548387,0.765625,0.5378561975930828,56
0.78125,0.8,0.75,0.7647058823529411,0.8125,0.7741935483870968,0.759493670886076,0.78125,0.5636018619766345,57
0.828125,0.8181818181818182,0.84375,0.8387096774193549,0.8125,0.8307692307692308,0.8385093167701864,0.828125,0.6565706694547585,58
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,59
0.828125,0.7837837837837838,0.90625,0.8888888888888888,0.75,0.8405797101449275,0.8787878787878788,0.828125,0.6644105970267493,60
0.765625,0.7575757575757576,0.78125,0.7741935483870968,0.75,0.7692307692307693,0.7763975155279503,0.765625,0.531509589558614,61
0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.625,62
0.765625,0.7931034482758621,0.71875,0.7428571428571429,0.8125,0.7540983606557377,0.732484076433121,0.765625,0.5336000974881928,63
0.828125,0.8387096774193549,0.8125,0.8181818181818182,0.84375,0.8253968253968254,0.8176100628930818,0.828125,0.6565706694547585,64
0.765625,0.8148148148148148,0.6875,0.7297297297297297,0.84375,0.7457627118644068,0.7096774193548387,0.765625,0.5378561975930828,65
0.734375,0.7419354838709677,0.71875,0.7272727272727273,0.75,0.7301587301587301,0.7232704402515723,0.734375,0.4689790496105418,66
0.78125,0.8,0.75,0.7647058823529411,0.8125,0.7741935483870968,0.759493670886076,0.78125,0.5636018619766345,67
0.78125,0.8461538461538461,0.6875,0.7368421052631579,0.875,0.7586206896551724,0.7142857142857143,0.78125,0.5726562866782,68
0.765625,0.7575757575757576,0.78125,0.7741935483870968,0.75,0.7692307692307693,0.7763975155279503,0.765625,0.531509589558614,69
0.796875,0.7878787878787878,0.8125,0.8064516129032258,0.78125,0.8,0.8074534161490683,0.796875,0.5940401295066863,70
