Model_Type,Hidden_Nodes,Lambda_Value,Activation,Fold_ID,Seed,Iteration,Fitness
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,62,0.6891608388756032
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,63,0.6891608388756032
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,64,0.6891608388756032
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,65,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,66,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,67,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,68,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,69,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,70,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,71,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,72,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,73,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,74,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,75,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,76,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,77,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,78,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,79,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,80,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,81,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,82,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,83,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,84,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,85,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,86,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,87,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,88,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,89,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,90,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,91,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,92,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,93,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,94,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,95,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,96,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,97,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,98,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,99,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,100,0.6892106335649677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,1,0.6130562973349112
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,2,0.6130562973349112
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,3,0.6130562973349112
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,4,0.6213633804644241
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,5,0.6213633804644241
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,6,0.6213633804644241
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,7,0.6213633804644241
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,8,0.6267192515080053
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,9,0.6267192515080053
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,10,0.6267192515080053
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,11,0.6267192515080053
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,12,0.6267192515080053
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,13,0.6267192515080053
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,14,0.6267192515080053
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,15,0.6267192515080053
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,16,0.638915918040978
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,17,0.6501426152387162
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,18,0.6501426152387162
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,19,0.6718151388296503
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,20,0.672650078204428
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,21,0.672650078204428
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,22,0.672650078204428
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,23,0.6784645597708594
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,24,0.6784645597708594
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,25,0.6784645597708594
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,26,0.6784645597708594
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,27,0.6784645597708594
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,28,0.6784645597708594
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,29,0.6784645597708594
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,30,0.6784645597708594
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,31,0.681663210366291
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,32,0.681663210366291
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,33,0.6909012277525317
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,34,0.6909012277525317
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,35,0.6909012277525317
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,36,0.6909012277525317
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,37,0.6909012277525317
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,38,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,39,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,40,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,41,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,42,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,43,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,44,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,45,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,46,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,47,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,48,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,49,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,50,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,51,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,52,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,53,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,54,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,55,0.6917512888642152
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,56,0.693928223960254
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,57,0.693928223960254
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,58,0.693928223960254
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,59,0.693928223960254
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,60,0.693928223960254
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,61,0.693928223960254
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,62,0.693928223960254
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,63,0.693928223960254
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,64,0.6982485547913799
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,65,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,66,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,67,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,68,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,69,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,70,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,71,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,72,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,73,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,74,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,75,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,76,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,77,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,78,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,79,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,80,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,81,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,82,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,83,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,84,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,85,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,86,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,87,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,88,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,89,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,90,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,91,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,92,0.7067286885464441
