Hidden_Nodes,Activation,Lambda_Value,Data_Seed,Fold,ELM_Seed,Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC
19,sigmoid,0.026084053304588836,1,0,41,0.6666666666666666,0.7368421052631579,0.5384615384615384,0.625,0.8,0.6222222222222222,0.5691056910569106,0.6692307692307693,0.3499566196366778
19,sigmoid,0.026084053304588836,1,0,42,0.6078431372549019,0.6666666666666666,0.46153846153846156,0.5757575757575758,0.76,0.5454545454545454,0.4918032786885246,0.6107692307692307,0.23174618380092843
19,sigmoid,0.026084053304588836,1,0,43,0.7647058823529411,0.85,0.6538461538461539,0.7096774193548387,0.88,0.7391304347826086,0.6854838709677419,0.7669230769230769,0.5466092184706746
19,sigmoid,0.026084053304588836,1,0,44,0.5686274509803921,0.5833333333333334,0.5384615384615384,0.5555555555555556,0.6,0.56,0.546875,0.5692307692307692,0.1386750490563073
19,sigmoid,0.026084053304588836,1,1,41,0.7450980392156863,0.8,0.64,0.7096774193548387,0.8461538461538461,0.7111111111111111,0.6666666666666666,0.7430769230769231,0.49777669463035495
19,sigmoid,0.026084053304588836,1,1,42,0.7058823529411765,0.7272727272727273,0.64,0.6896551724137931,0.7692307692307693,0.6808510638297872,0.6557377049180327,0.7046153846153846,0.41306140597069063
19,sigmoid,0.026084053304588836,1,1,43,0.6862745098039216,0.7142857142857143,0.6,0.6666666666666666,0.7692307692307693,0.6521739130434783,0.6198347107438017,0.6846153846153846,0.37504578475079636
19,sigmoid,0.026084053304588836,1,1,44,0.6862745098039216,0.8461538461538461,0.44,0.631578947368421,0.9230769230769231,0.5789473684210527,0.48672566371681414,0.6815384615384615,0.4164777937957891
19,sigmoid,0.026084053304588836,1,2,41,0.7058823529411765,0.7083333333333334,0.68,0.7037037037037037,0.7307692307692307,0.6938775510204082,0.6854838709677419,0.7053846153846154,0.4114026455337116
19,sigmoid,0.026084053304588836,1,2,42,0.7647058823529411,0.76,0.76,0.7692307692307693,0.7692307692307693,0.76,0.76,0.7646153846153847,0.5292307692307693
19,sigmoid,0.026084053304588836,1,2,43,0.7843137254901961,0.7692307692307693,0.8,0.8,0.7692307692307693,0.7843137254901961,0.7936507936507936,0.7846153846153847,0.5692307692307692
19,sigmoid,0.026084053304588836,1,2,44,0.7843137254901961,0.7916666666666666,0.76,0.7777777777777778,0.8076923076923077,0.7755102040816326,0.7661290322580645,0.7838461538461539,0.5685677011308599
19,sigmoid,0.026084053304588836,1,3,41,0.6666666666666666,0.6666666666666666,0.64,0.6666666666666666,0.6923076923076923,0.6530612244897959,0.6451612903225806,0.6661538461538461,0.3328201177351375
19,sigmoid,0.026084053304588836,1,3,42,0.6274509803921569,0.6666666666666666,0.48,0.6060606060606061,0.7692307692307693,0.5581395348837209,0.5084745762711864,0.6246153846153846,0.2607144567760445
19,sigmoid,0.026084053304588836,1,3,43,0.6274509803921569,0.65,0.52,0.6129032258064516,0.7307692307692307,0.5777777777777777,0.5416666666666666,0.6253846153846154,0.2567645608378097
19,sigmoid,0.026084053304588836,1,3,44,0.6470588235294118,0.6521739130434783,0.6,0.6428571428571429,0.6923076923076923,0.625,0.6097560975609756,0.6461538461538461,0.2936662171742135
19,sigmoid,0.026084053304588836,1,4,41,0.7647058823529411,0.8421052631578947,0.64,0.71875,0.8846153846153846,0.7272727272727273,0.6722689075630253,0.7623076923076924,0.5424327604368505
19,sigmoid,0.026084053304588836,1,4,42,0.803921568627451,0.7586206896551724,0.88,0.8636363636363636,0.7307692307692307,0.8148148148148148,0.8527131782945736,0.8053846153846154,0.6164863840991135
19,sigmoid,0.026084053304588836,1,4,43,0.7843137254901961,0.85,0.68,0.7419354838709677,0.8846153846153846,0.7555555555555555,0.7083333333333334,0.7823076923076924,0.5781140725612034
19,sigmoid,0.026084053304588836,1,4,44,0.7647058823529411,0.7096774193548387,0.88,0.85,0.6538461538461539,0.7857142857142857,0.8396946564885496,0.7669230769230769,0.5466092184706746
19,sigmoid,0.026084053304588836,2,0,41,0.7647058823529411,0.7692307692307693,0.7692307692307693,0.76,0.76,0.7692307692307693,0.7692307692307693,0.7646153846153847,0.5292307692307693
19,sigmoid,0.026084053304588836,2,0,42,0.6862745098039216,0.6923076923076923,0.6923076923076923,0.68,0.68,0.6923076923076923,0.6923076923076923,0.6861538461538461,0.3723076923076923
19,sigmoid,0.026084053304588836,2,0,43,0.6666666666666666,0.6551724137931034,0.7307692307692307,0.6818181818181818,0.6,0.6909090909090909,0.7142857142857143,0.6653846153846154,0.33386542211916725
19,sigmoid,0.026084053304588836,2,0,44,0.7647058823529411,0.7692307692307693,0.7692307692307693,0.76,0.76,0.7692307692307693,0.7692307692307693,0.7646153846153847,0.5292307692307693
19,sigmoid,0.026084053304588836,2,1,41,0.7254901960784313,0.7619047619047619,0.64,0.7,0.8076923076923077,0.6956521739130435,0.6611570247933884,0.7238461538461538,0.45474301401034056
19,sigmoid,0.026084053304588836,2,1,42,0.6078431372549019,0.6190476190476191,0.52,0.6,0.6923076923076923,0.5652173913043478,0.5371900826446281,0.6061538461538462,0.2156513262317079
19,sigmoid,0.026084053304588836,2,1,43,0.7450980392156863,0.8333333333333334,0.6,0.696969696969697,0.8846153846153846,0.6976744186046512,0.635593220338983,0.7423076923076923,0.5069447770645309
19,sigmoid,0.026084053304588836,2,1,44,0.6274509803921569,0.6666666666666666,0.48,0.6060606060606061,0.7692307692307693,0.5581395348837209,0.5084745762711864,0.6246153846153846,0.2607144567760445
19,sigmoid,0.026084053304588836,2,2,41,0.5882352941176471,0.5909090909090909,0.52,0.5862068965517241,0.6538461538461539,0.5531914893617021,0.5327868852459017,0.5869230769230769,0.17547345441612044
19,sigmoid,0.026084053304588836,2,2,42,0.6666666666666666,0.7,0.56,0.6451612903225806,0.7692307692307693,0.6222222222222222,0.5833333333333334,0.6646153846153846,0.33710193876865807
19,sigmoid,0.026084053304588836,2,2,43,0.6470588235294118,0.6842105263157895,0.52,0.625,0.7692307692307693,0.5909090909090909,0.5462184873949579,0.6446153846153846,0.29905383859861556
19,sigmoid,0.026084053304588836,2,2,44,0.6078431372549019,0.631578947368421,0.48,0.59375,0.7307692307692307,0.5454545454545454,0.5042016806722689,0.6053846153846154,0.2179275313192039
19,sigmoid,0.026084053304588836,2,3,41,0.6666666666666666,0.6428571428571429,0.72,0.6956521739130435,0.6153846153846154,0.6792452830188679,0.703125,0.6676923076923077,0.33694334391567654
19,sigmoid,0.026084053304588836,2,3,42,0.6862745098039216,0.68,0.68,0.6923076923076923,0.6923076923076923,0.68,0.68,0.6861538461538461,0.3723076923076923
19,sigmoid,0.026084053304588836,2,3,43,0.7843137254901961,0.8181818181818182,0.72,0.7586206896551724,0.8461538461538461,0.7659574468085106,0.7377049180327869,0.783076923076923,0.5714533736737374
19,sigmoid,0.026084053304588836,2,3,44,0.7450980392156863,0.75,0.72,0.7407407407407407,0.7692307692307693,0.7346938775510204,0.7258064516129032,0.7446153846153847,0.48998517333228575
19,sigmoid,0.026084053304588836,2,4,41,0.7254901960784313,0.7894736842105263,0.6,0.6875,0.8461538461538461,0.6818181818181818,0.6302521008403361,0.7230769230769231,0.4613064531574389
19,sigmoid,0.026084053304588836,2,4,42,0.7843137254901961,0.7916666666666666,0.76,0.7777777777777778,0.8076923076923077,0.7755102040816326,0.7661290322580645,0.7838461538461539,0.5685677011308599
19,sigmoid,0.026084053304588836,2,4,43,0.8235294117647058,0.8636363636363636,0.76,0.7931034482758621,0.8846153846153846,0.8085106382978723,0.7786885245901639,0.8223076923076923,0.6506493575252608
19,sigmoid,0.026084053304588836,2,4,44,0.7254901960784313,0.7391304347826086,0.68,0.7142857142857143,0.7692307692307693,0.7083333333333334,0.6910569105691057,0.7246153846153847,0.451318607446686
19,sigmoid,0.026084053304588836,3,0,41,0.6862745098039216,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.6,0.7142857142857143,0.746268656716418,0.6846153846153846,0.37504578475079636
19,sigmoid,0.026084053304588836,3,0,42,0.7058823529411765,0.7037037037037037,0.7307692307692307,0.7083333333333334,0.68,0.7169811320754716,0.7251908396946565,0.7053846153846154,0.4114026455337116
19,sigmoid,0.026084053304588836,3,0,43,0.803921568627451,0.8076923076923077,0.8076923076923077,0.8,0.8,0.8076923076923077,0.8076923076923077,0.8038461538461539,0.6076923076923076
19,sigmoid,0.026084053304588836,3,0,44,0.6470588235294118,0.6333333333333333,0.7307692307692307,0.6666666666666666,0.56,0.6785714285714286,0.7089552238805971,0.6453846153846154,0.2953485554912521
19,sigmoid,0.026084053304588836,3,1,41,0.6666666666666666,0.8333333333333334,0.4,0.6153846153846154,0.9230769230769231,0.5405405405405406,0.44642857142857145,0.6615384615384616,0.3807498052542948
19,sigmoid,0.026084053304588836,3,1,42,0.6862745098039216,0.7647058823529411,0.52,0.6470588235294118,0.8461538461538461,0.6190476190476191,0.5555555555555556,0.6830769230769231,0.3882901373576604
