Model_Type,Hidden_Nodes,Lambda_Value,Activation,Fold_ID,Seed,Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,101,0.765625,0.8076923076923077,0.6774193548387096,0.7368421052631579,0.8484848484848485,0.7368421052631579,0.7,0.7629521016617791,0.5351382406702081
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,102,0.6875,0.72,0.5806451612903226,0.6666666666666666,0.7878787878787878,0.6428571428571429,0.6040268456375839,0.6842619745845553,0.37748632692066614
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,103,0.71875,0.7407407407407407,0.6451612903225806,0.7027027027027027,0.7878787878787878,0.6896551724137931,0.6622516556291391,0.7165200391006843,0.43821088921503637
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,104,0.625,0.6296296296296297,0.5483870967741935,0.6216216216216216,0.696969696969697,0.5862068965517241,0.5629139072847682,0.6226783968719453,0.24828653090964817
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,105,0.78125,0.8695652173913043,0.6451612903225806,0.7317073170731707,0.9090909090909091,0.7407407407407407,0.6802721088435374,0.7771260997067448,0.5772838337194786
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,106,0.75,0.7777777777777778,0.6774193548387096,0.7297297297297297,0.8181818181818182,0.7241379310344828,0.695364238410596,0.7478005865102639,0.5015190086501659
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,107,0.765625,0.8333333333333334,0.6451612903225806,0.725,0.8787878787878788,0.7272727272727273,0.6756756756756757,0.7619745845552297,0.5408680856610725
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,108,0.765625,0.8333333333333334,0.6451612903225806,0.725,0.8787878787878788,0.7272727272727273,0.6756756756756757,0.7619745845552297,0.5408680856610725
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,109,0.703125,0.7142857142857143,0.6451612903225806,0.6944444444444444,0.7575757575757576,0.6779661016949152,0.6578947368421053,0.7013685239491692,0.40572253759682037
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,110,0.6875,0.7037037037037037,0.6129032258064516,0.6756756756756757,0.7575757575757576,0.6551724137931034,0.6291390728476821,0.6852394916911047,0.374902769779907
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,111,0.640625,0.6538461538461539,0.5483870967741935,0.631578947368421,0.7272727272727273,0.5964912280701754,0.5666666666666667,0.6378299120234604,0.28049997001672616
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,112,0.6875,0.72,0.5806451612903226,0.6666666666666666,0.7878787878787878,0.6428571428571429,0.6040268456375839,0.6842619745845553,0.37748632692066614
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,113,0.71875,0.7241379310344828,0.6774193548387096,0.7142857142857143,0.7575757575757576,0.7,0.6862745098039216,0.7174975562072337,0.43670601424896777
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,114,0.765625,0.8333333333333334,0.6451612903225806,0.725,0.8787878787878788,0.7272727272727273,0.6756756756756757,0.7619745845552297,0.5408680856610725
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,115,0.734375,0.8888888888888888,0.5161290322580645,0.6739130434782609,0.9393939393939394,0.6530612244897959,0.5633802816901409,0.727761485826002,0.506329150536856
Best_Hidden_Nodes_CV_Ensemble,49,0.0,sigmoid,0,116,0.78125,0.7931034482758621,0.7419354838709677,0.7714285714285715,0.8181818181818182,0.7666666666666667,0.7516339869281046,0.7800586510263929,0.5623203284599068
