Model_Type,Hidden_Nodes,Lambda_Value,Activation,Fold_ID,Seed,Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC
Best_Hidden_NodesCD,49,0.0,sigmoid,0,101,0.8125,0.8064516129032258,0.8064516129032258,0.8181818181818182,0.8181818181818182,0.8064516129032258,0.8064516129032258,0.8123167155425219,0.624633431085044
Best_Hidden_NodesCD,49,0.0,sigmoid,0,102,0.84375,0.8888888888888888,0.7741935483870968,0.8108108108108109,0.9090909090909091,0.8275862068965517,0.7947019867549668,0.8416422287390029,0.6914433669555541
Best_Hidden_NodesCD,49,0.0,sigmoid,0,103,0.796875,0.8461538461538461,0.7096774193548387,0.7631578947368421,0.8787878787878788,0.7719298245614035,0.7333333333333333,0.7942326490713587,0.5987978083335785
Best_Hidden_NodesCD,49,0.0,sigmoid,0,104,0.859375,0.8928571428571429,0.8064516129032258,0.8333333333333334,0.9090909090909091,0.847457627118644,0.8223684210526315,0.8577712609970674,0.7208468386428944
Best_Hidden_NodesCD,49,0.0,sigmoid,0,105,0.796875,0.8214285714285714,0.7419354838709677,0.7777777777777778,0.8484848484848485,0.7796610169491526,0.756578947368421,0.7952101661779081,0.5947971182244648
Best_Hidden_NodesCD,49,0.0,sigmoid,0,106,0.875,0.9259259259259259,0.8064516129032258,0.8378378378378378,0.9393939393939394,0.8620689655172413,0.8278145695364238,0.8729227761485826,0.7547514863906835
Best_Hidden_NodesCD,49,0.0,sigmoid,0,107,0.8125,0.8275862068965517,0.7741935483870968,0.8,0.8484848484848485,0.8,0.7843137254901961,0.8113391984359726,0.6251274855653763
Best_Hidden_NodesCD,49,0.0,sigmoid,0,108,0.75,0.7419354838709677,0.7419354838709677,0.7575757575757576,0.7575757575757576,0.7419354838709677,0.7419354838709677,0.7497556207233627,0.4995112414467253
Best_Hidden_NodesCD,49,0.0,sigmoid,0,109,0.75,0.8260869565217391,0.6129032258064516,0.7073170731707317,0.8787878787878788,0.7037037037037037,0.6462585034013606,0.7458455522971652,0.5121230482555515
Best_Hidden_NodesCD,49,0.0,sigmoid,0,110,0.75,0.7777777777777778,0.6774193548387096,0.7297297297297297,0.8181818181818182,0.7241379310344828,0.695364238410596,0.7478005865102639,0.5015190086501659
Best_Hidden_NodesCD,49,0.0,sigmoid,0,111,0.78125,0.84,0.6774193548387096,0.7435897435897436,0.8787878787878788,0.75,0.7046979865771812,0.7781036168132942,0.5697340053524113
Best_Hidden_NodesCD,49,0.0,sigmoid,0,112,0.875,0.96,0.7741935483870968,0.8205128205128205,0.9696969696969697,0.8571428571428571,0.8053691275167785,0.8719452590420332,0.7619816837841563
Best_Hidden_NodesCD,49,0.0,sigmoid,0,113,0.75,0.7777777777777778,0.6774193548387096,0.7297297297297297,0.8181818181818182,0.7241379310344828,0.695364238410596,0.7478005865102639,0.5015190086501659
Best_Hidden_NodesCD,49,0.0,sigmoid,0,114,0.859375,0.9230769230769231,0.7741935483870968,0.8157894736842105,0.9393939393939394,0.8421052631578947,0.8,0.8567937438905181,0.7261169436603195
Best_Hidden_NodesCD,49,0.0,sigmoid,0,115,0.8125,0.8275862068965517,0.7741935483870968,0.8,0.8484848484848485,0.8,0.7843137254901961,0.8113391984359726,0.6251274855653763
