Solution_Size,Trial_Limit,Max_Iteration,Employed_Algo3,Onlooker_Algo3,Fold_ID,Seed,Iteration,Train_Fitness,Val_Fitness,Trace_Metric,Scout_Triggers
10,5,50,False,False,0,131,1,0.5263808206102429,0.6235590677162621,MCC,0
10,5,50,False,False,0,131,2,0.5263808206102429,0.6235590677162621,MCC,0
10,5,50,False,False,0,131,3,0.5469453230135319,0.5890215504940264,MCC,2
10,5,50,False,False,0,131,4,0.574023300518151,0.6506493575252608,MCC,0
10,5,50,False,False,0,131,5,0.574023300518151,0.6506493575252608,MCC,1
10,5,50,False,False,0,131,6,0.574023300518151,0.6506493575252608,MCC,3
10,5,50,False,False,0,131,7,0.574023300518151,0.6506493575252608,MCC,1
10,5,50,False,False,0,131,8,0.574023300518151,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,9,0.574023300518151,0.6506493575252608,MCC,0
10,5,50,False,False,0,131,10,0.574023300518151,0.6506493575252608,MCC,3
10,5,50,False,False,0,131,11,0.579519460351404,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,12,0.6210933898217679,0.6506493575252608,MCC,1
10,5,50,False,False,0,131,13,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,14,0.6210933898217679,0.6506493575252608,MCC,1
10,5,50,False,False,0,131,15,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,16,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,17,0.6210933898217679,0.6506493575252608,MCC,1
10,5,50,False,False,0,131,18,0.6210933898217679,0.6506493575252608,MCC,0
10,5,50,False,False,0,131,19,0.6210933898217679,0.6506493575252608,MCC,3
10,5,50,False,False,0,131,20,0.6210933898217679,0.6506493575252608,MCC,0
10,5,50,False,False,0,131,21,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,22,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,23,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,24,0.6210933898217679,0.6506493575252608,MCC,0
10,5,50,False,False,0,131,25,0.6210933898217679,0.6506493575252608,MCC,1
10,5,50,False,False,0,131,26,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,27,0.6210933898217679,0.6506493575252608,MCC,1
10,5,50,False,False,0,131,28,0.6210933898217679,0.6506493575252608,MCC,5
10,5,50,False,False,0,131,29,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,30,0.6210933898217679,0.6506493575252608,MCC,0
10,5,50,False,False,0,131,31,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,32,0.6210933898217679,0.6506493575252608,MCC,0
10,5,50,False,False,0,131,33,0.6210933898217679,0.6506493575252608,MCC,5
10,5,50,False,False,0,131,34,0.6210933898217679,0.6506493575252608,MCC,1
10,5,50,False,False,0,131,35,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,36,0.6210933898217679,0.6506493575252608,MCC,6
10,5,50,False,False,0,131,37,0.6210933898217679,0.6506493575252608,MCC,1
10,5,50,False,False,0,131,38,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,39,0.6210933898217679,0.6506493575252608,MCC,5
10,5,50,False,False,0,131,40,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,41,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,42,0.6210933898217679,0.6506493575252608,MCC,5
10,5,50,False,False,0,131,43,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,44,0.6210933898217679,0.6506493575252608,MCC,3
10,5,50,False,False,0,131,45,0.6210933898217679,0.6506493575252608,MCC,4
10,5,50,False,False,0,131,46,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,47,0.6210933898217679,0.6506493575252608,MCC,3
10,5,50,False,False,0,131,48,0.6210933898217679,0.6506493575252608,MCC,4
10,5,50,False,False,0,131,49,0.6210933898217679,0.6506493575252608,MCC,2
10,5,50,False,False,0,131,50,0.6210933898217679,0.6506493575252608,MCC,3
10,5,50,False,False,0,132,1,0.5322971256802806,0.5714533736737373,MCC,0
10,5,50,False,False,0,132,2,0.5477359950197247,0.5714533736737373,MCC,0
10,5,50,False,False,0,132,3,0.5513281109649413,0.6506493575252608,MCC,1
10,5,50,False,False,0,132,4,0.5513281109649413,0.6506493575252608,MCC,0
10,5,50,False,False,0,132,5,0.5551978484526146,0.5692307692307692,MCC,3
10,5,50,False,False,0,132,6,0.5551978484526146,0.5692307692307692,MCC,1
10,5,50,False,False,0,132,7,0.5722782384775664,0.6089709977191586,MCC,0
10,5,50,False,False,0,132,8,0.5722782384775664,0.6089709977191586,MCC,3
10,5,50,False,False,0,132,9,0.5722782384775664,0.6089709977191586,MCC,0
10,5,50,False,False,0,132,10,0.5722782384775664,0.6089709977191586,MCC,1
10,5,50,False,False,0,132,11,0.5722782384775664,0.6089709977191586,MCC,4
10,5,50,False,False,0,132,12,0.5722782384775664,0.6089709977191586,MCC,2
10,5,50,False,False,0,132,13,0.5722782384775664,0.6089709977191586,MCC,0
10,5,50,False,False,0,132,14,0.6041539006681926,0.6089709977191586,MCC,0
10,5,50,False,False,0,132,15,0.6041539006681926,0.6089709977191586,MCC,3
10,5,50,False,False,0,132,16,0.6041539006681926,0.6089709977191586,MCC,1
10,5,50,False,False,0,132,17,0.6041539006681926,0.6089709977191586,MCC,0
10,5,50,False,False,0,132,18,0.6074341741824332,0.6089709977191586,MCC,3
